State,Transitions,Percentage Transitions
2,5,0.0196078431372549
5,253,0.9921568627450981
6,253,0.9921568627450981
7,253,0.9921568627450981
8,253,0.9921568627450981
9,253,0.9921568627450981
10,253,0.9921568627450981
11,253,0.9921568627450981
12,253,0.9921568627450981
13,253,0.9921568627450981
14,253,0.9921568627450981
15,253,0.9921568627450981
16,253,0.9921568627450981
17,253,0.9921568627450981
18,253,0.9921568627450981
19,253,0.9921568627450981
20,253,0.9921568627450981
21,253,0.9921568627450981
22,253,0.9921568627450981
23,253,0.9921568627450981
24,253,0.9921568627450981
25,253,0.9921568627450981
26,253,0.9921568627450981
27,253,0.9921568627450981
28,253,0.9921568627450981
29,253,0.9921568627450981
30,253,0.9921568627450981
31,253,0.9921568627450981
32,253,0.9921568627450981
33,253,0.9921568627450981
34,253,0.9921568627450981
35,253,0.9921568627450981
36,253,0.9921568627450981
37,253,0.9921568627450981
38,253,0.9921568627450981
39,253,0.9921568627450981
40,253,0.9921568627450981
41,253,0.9921568627450981
42,253,0.9921568627450981
43,253,0.9921568627450981
44,253,0.9921568627450981
45,253,0.9921568627450981
46,253,0.9921568627450981
47,253,0.9921568627450981
48,253,0.9921568627450981
49,253,0.9921568627450981
50,253,0.9921568627450981
51,253,0.9921568627450981
52,253,0.9921568627450981
53,253,0.9921568627450981
54,253,0.9921568627450981
55,253,0.9921568627450981
56,253,0.9921568627450981
57,253,0.9921568627450981
58,2,0.00784313725490196
59,2,0.00784313725490196
60,253,0.9921568627450981
61,253,0.9921568627450981
62,253,0.9921568627450981
63,253,0.9921568627450981
64,253,0.9921568627450981
65,253,0.9921568627450981
66,253,0.9921568627450981
67,253,0.9921568627450981
68,253,0.9921568627450981
69,253,0.9921568627450981
70,253,0.9921568627450981
71,253,0.9921568627450981
72,253,0.9921568627450981
73,253,0.9921568627450981
74,253,0.9921568627450981
75,253,0.9921568627450981
76,253,0.9921568627450981
77,253,0.9921568627450981
78,253,0.9921568627450981
79,253,0.9921568627450981
80,253,0.9921568627450981
81,253,0.9921568627450981
82,253,0.9921568627450981
83,253,0.9921568627450981
84,253,0.9921568627450981
85,253,0.9921568627450981
86,253,0.9921568627450981
87,253,0.9921568627450981
88,253,0.9921568627450981
89,253,0.9921568627450981
90,253,0.9921568627450981
91,253,0.9921568627450981
92,253,0.9921568627450981
93,253,0.9921568627450981
94,253,0.9921568627450981
95,253,0.9921568627450981
96,253,0.9921568627450981
97,253,0.9921568627450981
98,253,0.9921568627450981
99,253,0.9921568627450981
100,253,0.9921568627450981
101,253,0.9921568627450981
102,253,0.9921568627450981
103,253,0.9921568627450981
104,253,0.9921568627450981
105,253,0.9921568627450981
106,253,0.9921568627450981
107,253,0.9921568627450981
108,253,0.9921568627450981
109,253,0.9921568627450981
110,253,0.9921568627450981
111,253,0.9921568627450981
112,253,0.9921568627450981
113,253,0.9921568627450981
114,253,0.9921568627450981
115,253,0.9921568627450981
116,253,0.9921568627450981
117,253,0.9921568627450981
118,253,0.9921568627450981
119,253,0.9921568627450981
120,253,0.9921568627450981
121,253,0.9921568627450981
122,253,0.9921568627450981
123,253,0.9921568627450981
124,253,0.9921568627450981
125,253,0.9921568627450981
126,253,0.9921568627450981
127,253,0.9921568627450981
128,253,0.9921568627450981
129,253,0.9921568627450981
130,253,0.9921568627450981
131,253,0.9921568627450981
132,253,0.9921568627450981
133,253,0.9921568627450981
134,253,0.9921568627450981
135,253,0.9921568627450981
136,253,0.9921568627450981
137,253,0.9921568627450981
138,253,0.9921568627450981
139,253,0.9921568627450981
140,253,0.9921568627450981
141,253,0.9921568627450981
142,253,0.9921568627450981
143,253,0.9921568627450981
144,253,0.9921568627450981
145,253,0.9921568627450981
146,253,0.9921568627450981
147,253,0.9921568627450981
148,253,0.9921568627450981
149,253,0.9921568627450981
150,253,0.9921568627450981
151,253,0.9921568627450981
152,253,0.9921568627450981
153,253,0.9921568627450981
154,253,0.9921568627450981
155,253,0.9921568627450981
156,253,0.9921568627450981
157,253,0.9921568627450981
158,253,0.9921568627450981
159,253,0.9921568627450981
160,253,0.9921568627450981
161,253,0.9921568627450981
162,253,0.9921568627450981
163,253,0.9921568627450981
164,253,0.9921568627450981
165,253,0.9921568627450981
167,253,0.9921568627450981
168,253,0.9921568627450981
169,253,0.9921568627450981
170,253,0.9921568627450981
171,253,0.9921568627450981
172,253,0.9921568627450981
173,253,0.9921568627450981
174,253,0.9921568627450981
175,253,0.9921568627450981
176,253,0.9921568627450981
177,253,0.9921568627450981
178,253,0.9921568627450981
179,253,0.9921568627450981
